month,day,height,numengs,time_of_day,season,phase_of_flt,damage,effect,sky,min_bird_struck,max_bird_struck,size,struck_combined,damage_combined,eng_fail
02,06,50,2,night,winter,approach,N,none,nocloud,1,1,unknown,TRUE,FALSE,0
07,15,0,2,day,summer,takeoffrun,N,none,unknown,1,1,unknown,TRUE,FALSE,0
11,08,250,2,day,fall,climb,N,none,somecloud,1,1,medium,TRUE,FALSE,0
09,16,0,2,day,fall,takeoffrun,N,none,nocloud,1,1,small,TRUE,FALSE,0
05,05,0,2,day,spring,landingroll,N,none,nocloud,1,1,small,TRUE,FALSE,0
08,17,0,2,night,summer,landingroll,U,none,somecloud,1,1,small,TRUE,FALSE,0
04,29,600,2,night,spring,approach,M,none,somecloud,1,1,medium,TRUE,TRUE,0
08,18,400,2,day,summer,approach,N,none,somecloud,1,1,small,TRUE,FALSE,0
06,05,0,2,day,summer,takeoffrun,N,none,somecloud,1,1,unknown,TRUE,FALSE,0
06,03,0,2,day,summer,landingroll,N,none,overcast,1,1,small,TRUE,FALSE,0
07,07,0,2,day,summer,landingroll,N,none,nocloud,1,1,small,TRUE,FALSE,0
10,08,50,2,dusk,fall,approach,N,none,overcast,1,1,medium,TRUE,FALSE,0
02,13,1400,2,dusk,winter,approach,N,none,somecloud,1,1,medium,TRUE,FALSE,0
08,04,1000,2,night,summer,approach,N,none,nocloud,1,1,large,TRUE,FALSE,0
10,12,0,2,day,fall,landingroll,N,none,somecloud,1,1,small,TRUE,FALSE,0
10,23,0,2,day,fall,landingroll,N,none,somecloud,1,1,small,TRUE,FALSE,0
04,26,0,2,day,spring,takeoffrun,N,abortedtakeoff,overcast,1,1,medium,TRUE,FALSE,0
08,19,2000,2,day,summer,climb,M?,other,somecloud,1,1,small,TRUE,TRUE,0
11,02,10,2,dawn,fall,climb,N,none,somecloud,1,1,small,TRUE,FALSE,0
03,03,50,2,day,spring,climb,M,none,nocloud,1,1,medium,TRUE,TRUE,0
07,28,0,2,day,summer,takeoffrun,N,none,somecloud,1,1,medium,TRUE,FALSE,0
08,23,10,2,day,summer,climb,U,none,somecloud,1,1,small,TRUE,FALSE,0
07,28,20,2,day,summer,climb,N,none,nocloud,2,10,small,TRUE,FALSE,0
07,31,0,2,day,summer,takeoffrun,U,none,somecloud,1,1,unknown,TRUE,FALSE,0
12,29,0,2,day,winter,landingroll,M?,none,nocloud,1,1,large,TRUE,TRUE,0
08,29,200,2,day,summer,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
11,17,3000,2,day,fall,climb,N,precautionarylanding,somecloud,1,1,medium,TRUE,FALSE,0
04,20,10,2,day,spring,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
06,16,300,2,day,summer,approach,N,none,nocloud,1,1,small,TRUE,FALSE,0
10,06,1200,2,day,fall,approach,U,none,unknown,1,1,unknown,TRUE,FALSE,0
11,21,8000,2,night,fall,climb,M?,none,unknown,1,1,unknown,TRUE,TRUE,0
10,18,300,2,night,fall,approach,N,none,unknown,1,1,unknown,TRUE,FALSE,0
11,05,700,2,night,fall,approach,N,none,unknown,1,1,unknown,TRUE,FALSE,0
10,24,3000,1,night,fall,approach,M?,none,nocloud,1,1,unknown,TRUE,TRUE,0
04,29,15,2,day,spring,climb,M?,precautionarylanding,somecloud,2,10,medium,TRUE,TRUE,0
10,03,0,2,dawn,fall,takeoffrun,N,none,nocloud,1,1,small,TRUE,FALSE,0
